,title,description,source,job-id,ar-chars
9848,طبيب بيطري-اخصائي عظام -العمل بالسعودية - السنطة - الغربية,العمل بالسعودية -الرياض عيادات بيطرية - الحيوانات الأليفةطبيب بيطري-اخصائي عظام تخصص وخبرة عمليةلاتقل عن 3 سنوات في علاج العظام واحراء العمليات الجراحية - الحيوانات الأليفةالمزايا الوظيفية:راتب اساسي يحدد حسب الخبرة + عمولة يتفق عليها لكل عملية جراحية متوفر السكنالانتقالات التأمين الطبي. - 3 سنوات خبرة على الأقل - مؤهل عالي - طب وصيدلة,forsana,239554,True
9849,طبيب بيطري-اخصائي عظام -العمل بالسعودية - ابو حماد - الشرقية,العمل بالسعودية -الرياض عيادات بيطرية - الحيوانات الأليفةطبيب بيطري-اخصائي عظام تخصص وخبرة عمليةلاتقل عن 3 سنوات في علاج العظام واحراء العمليات الجراحية - الحيوانات الأليفةالمزايا الوظيفية:راتب اساسي يحدد حسب الخبرة + عمولة يتفق عليها لكل عملية جراحية متوفر السكنالانتقالات التأمين الطبي. - 3 سنوات خبرة على الأقل - مؤهل عالي - طب وصيدلة,forsana,239553,True
9850,طبيب بيطري-اخصائي عظام -العمل بالسعودية - اشمون - المنوفية,العمل بالسعودية -الرياض عيادات بيطرية - الحيوانات الأليفةطبيب بيطري-اخصائي عظام تخصص وخبرة عمليةلاتقل عن 3 سنوات في علاج العظام واحراء العمليات الجراحية - الحيوانات الأليفةالمزايا الوظيفية:راتب اساسي يحدد حسب الخبرة + عمولة يتفق عليها لكل عملية جراحية متوفر السكنالانتقالات التأمين الطبي. - 3 سنوات خبرة على الأقل - مؤهل عالي - طب وصيدلة,forsana,239552,True
9851,بائع (مبيعات داخلية) - جسر السويس - القاهرة,1.يرتب المنتجات والبضائع وفقا للمخطط التسويقى بهدف زيادة المبيعات 2.يستقبل العملاء بطريقة تليق بشركة العبد بهدف زيادة رضاء العميل ، وتحقيق ربح للشركة3.يتلقى طلبات العملاء وتعبئة الاصناف المطلوبة سواء منتجات اوبضائع بهدف تحقيق المستهدف البيعى سواء للفرد او الفريق4.يقوم بتعريف العملاء على المنتجات او البضائع الجديدة و المختلفة بهدف زيادة المستهدف البيعى - 3 سنوات خبرة على الأكثر - ثانوية فنية نظام ٣ سنوات (متوسط) - تسويق ومبيعات,forsana,239551,True
9852,مسئول تسويق و مبيعات طبية (medical representative) - المقطم - القاهرة,- توفر الشركة راتب ثابت بالإضافة إلي عمولات وبدل انتقال وتأمينات اجتماعية الترويج والتسويق لمنتجات الشركة تقييم احتاجات العملاء وتقديم المنتجات المناسبة لهم بناء علاقات ايجابية مع العملاء مراقبة وتحليل البيانات وظروف السوق لتحديد الميزة التنافسية العمل مع فريق التسويق لتطوير الاستراتجيات الخاصة بالعلامة التجارية وتنفيذها ابقاء قسم الادارة علي اطلاع بكافة تحركات المندوب من خلال اعداد التقارير وارفاقها (المكالمات اليومية - زيارت يومية - خطط العمل الاسبوعية والشهرية....) استقطاب العملاء الجدد وجذبهم للشركة حضور اجتماعات الشركة الدورية - سنة خبرة على الأقل - مؤهل عالي - تسويق ومبيعات,forsana,239550,True
9853,عامل نظافة - شيراتون - القاهرة,- لا يشترط خبرة - تناسب كل المؤهلات - خدمات,forsana,239549,True
9854,سائق (رخصة درجة ثانية) - التجمع الخامس - القاهرة,- سنتان خبرة على الأقل - ثانوية فنية نظام ٣ سنوات (متوسط) - قيادة وتوصيل,forsana,239548,True
9855,محاسب/محاسبة - مصر الجديدة - القاهرة,- سنتان- 5 سنوات خبرة - مؤهل عالي - مالية وقانونية,forsana,239547,True
9856,مدير/مديرة فرع - المعادى - القاهرة,مدير فرع خبره فى مجال الملابس لا يقل عن عامين - سنتان خبرة على الأقل - مؤهل عالي - اعمال ادارية,forsana,239546,True
9857,فنى ضواغط هواء - مدينة العبور - القاهرة,"1 - تنفيذ أعمال الصيانة الدورية أنظمة ضغط الهواء بأنواعها. (ترددى – حلزونى) 2 - معرفة وإلمام بأساسيات دوائرالتحكم لوحدات ضغط الهواء بأنواعها. 3 - القدرة على الكشف والتشخيص وإصلاح الأعطال لأنظمة الهواء المضغوط . 4 - مباشرة طلبات الصيانة الموكلة للفنى وفقا"" لتوجيهات المدير المباشر . 5 - القيام بطلب قطع الغيار المطلوبة وتركيبها. 6 - معرفة بإجراءات السلامة العامة بالموقع وإجراءات السلامة الخاصةبالعمل فى دوائر الهواء المضغوط المتبعة أثناء العمل . 7 - المساهمة فى أعمال الصيانة العامة اللازمة . - لا يشترط خبرة - تناسب كل المؤهلات - صناعة وزراعة",forsana,239545,True
9858,أخصائي توكيد جودة - العاشر من رمضان - الشرقية,- خبرة في التعامل مع المستندات الخاصة بتوكيد الجودة والمواصفات القياسية في مصانع الاغذية.- خبرة في انظمه وعمليات ادارة سلامة الاغذية والمعرفة التامه بتعليمات السلامه والصحه المهنية.- خبرة في اعداد النماذج والتقاريير اللازمة وأن يكون علي دراية تامة بمتطلبات سلامه الغذاء. - سنة خبرة على الأقل - مؤهل عالي - صناعة وزراعة,forsana,239544,True
9859,بائعين فى مجال الحلوايات - الشيخ زايد - الجيزة,شركة كبري تعمل في مجال الحلويات الشرقية والغربيةالجنس : ذكور فقطالسن : 25 حتي 30المؤهل : عالي ( الطلبه يمتنعون )الخبرة : 3-5 سنوات في مجال بيع الحلويات الشرقيه والغربيةالتفرغ : يشترط التفرغ - 3- 5 سنوات خبرة - مؤهل عالي - تسويق ومبيعات,forsana,239543,True
9860,موظف تسويق ومبيعات خارجية - 15 مايو - القاهرة,مندوبي مبيعات وتسويق...للعمل بمناطق القاهرة الكبري لشركة عريقة تعمل بمجال استيراد الاخشاب...السن من ٢٠ وحتي ٢٧ سنة.يفضل من لديه رخصة قيادة..نوفر التدريب العلمي وادوات مناخية وبيئة عمل متميزة من التطور ... - سنة- 3 سنوات خبرة - مؤهل عالي - تسويق ومبيعات,forsana,239541,True
9861,مسئول مبيعات خارجية (يشترط امتلاك سيارة) - 15 مايو - القاهرة,- يشترط امتلاك سياره- عمولات 2% و بدل مادي للانتقالات - سنة خبرة على الأقل - ثانوية فنية نظام ٣ سنوات (متوسط) - تسويق ومبيعات,forsana,239540,True
9862,بائع في متجر بينجو - المقطم - القاهرة,استقبال العملاء والتوجيه داخل أقسام المتجر. تقديم معلومات دقيقة مثل ميزات المنتج ، والأسعار وخدمات ما بعد البيع. التجاوب مع العملاء فيما يخص المنتجات والخدمات. اظهار المقارنات بين الأسعار والميزات الاضافية لتشجيع العملاء على الشراء. إعداد وتجهيز العروض الترويجية المختلفة. الإشراف على تناسق عمليات التخزين والكميات المعروضة على الرفوف. الاشراف على اجراءات الاسترجاع واستبدال المنتجات. التنسيق مع فريق عمل مبيعات التجزئة لتقديم خدمة عملاء ممتازة خاصة خلال أوقات الذروة. تعريف العملاء بأحدث العروض والخصومات الخاصة بشكل مستمر. تقديم تقارير دورية عن ملاحظات العملاء إلى مدير المتجر. الإطلاع بشكل دائم على المنتجات والخدمات الجديدة. - لا يشترط خبرة - دبلوم نظام ٥ سنوات (فوق متوسط) - تسويق ومبيعات,forsana,239539,True
9863,امين مخازن (مواد غذائية ومشروبات) - الشيخ زايد - الجيزة,المهام الوظيفية #تنفيذ أذون الاضافة والصرف والارتجاع وتنظيم الوحدات التخزينية والارفف وسلامة المخزون وفقاً لتعليمات التخزين الجرد الدورى للمخزن ومطابقة الأصناف برصيد المخزون على قاعدة البيانات.#الاشراف على عمال المخازن و الاحتفاظ بسجلات دقيقة لجميع الوحدات التخزينية الواردة والصادرة. شروط العمل :# مؤهل عالي / فوق متوسط.# خبرة من (1-5) سنوات في مجال المطاعم# السن من 23-2 # يفضل يفضل قرب السكن من الشيخ زايدالمزايا#تأمينات إجتماعية وصحية#وجبة يومية #مكأفات وفرص ترقي سريع - سنة- 5 سنوات خبرة - مؤهل عالي - سياحة وضيافة,forsana,239538,True
9864,اخصائي تغذية-العمل بالسعودية - 15 مايو - القاهرة,شركة ايجيبت كارير لالحاق العمالة المصرية بالخارج ترخيص 1133《مراكز دكتور نيوترشن》اخصائيين تغذيةالشروط :1. أن يكونوا خريجي إحدى الكليات التالية :كليه اقتصاد منزلي... ( شعبه اقتصاد منزلي فقط ) الزراعة التخصصات التالية فقط( الاقتصاد المنزلي ، علوم وتقنية الأغذية ، علوم وتكنولوجيا الأغذية ، برنامج نظم التغذية(dietetic program) ، قسم التقنية الحيوية، قسم الكيمياء الحيوية، قسم الصناعات الغذائية علوم الأغذية). 》 العلوم بكل اقسامها 2. السن لا يزيد عن 30 سنة3. اللباقة وحسن المظهر4. عدم التدخين - سنة خبرة على الأقل - مؤهل عالي - اعمال ادارية,forsana,239537,True
9865,مندوب مبيعات خارجية - السلام - القاهرة,مندوبي مبيعات وتسويق... للعمل بمناطق القاهرة الكبري لشركة عريقة تعمل بمجال استيراد الاخشاب... السن من ٢٠ وحتي ٢٧ سنة. يفضل من لديه رخصة قيادة.. نوفر التدريب العلمي وادوات مناخية وبيئة عمل متميزة من التطور ... - سنة- 3 سنوات خبرة - مؤهل عالي - تسويق ومبيعات,forsana,239287,True
9866,امين مخازن - الشيخ زايد - الجيزة,- سنة- 5 سنوات خبرة - مؤهل عالي - اعمال ادارية,forsana,239536,True
9867,مهندس زراعى - الداخلة - الوادي الجديد,شركة استثمار زراعى كبرى مهندس زراعى خبره بزراعه النباتات الطبيه والعطريه اكثر من 7 سنوات -- بدءا من مرحله استصلاح التربه وتجهيز الارض للزراعه الى مرحله الحصاد والتعبئهمهارات الاداره يوجد إقامه كامله - 7- 12 سنة خبرة - مؤهل عالي - عمارة وهندسة,forsana,239535,True
9868,سكرتيرة (لا يشترط خبرة) - السويس - السويس,- لا يشترط خبرة - مؤهل عالي - اعمال ادارية,forsana,239263,True
9869,مندوب مشتريات خارجية - شبرا - القاهرة,Expereince in Raw & Packaging - سنتان- 5 سنوات خبرة - مؤهل عالي - تسويق ومبيعات,forsana,239534,True
9870,مساعد فنى تركيبات اجهزه تكييف - مدينة نصر - القاهرة,- مساعد فنى تركيبات اجهزه تكييف- يفضل خبره - توفر الشركة راتب ثابت وحوافز وتامينات - سنتان- 4 سنوات خبرة - ثانوية فنية نظام ٣ سنوات (متوسط) - حرف,forsana,239533,True
9871,مندوب مبيعات خارجية تجزئه - الفيوم - الفيوم,• يكون حسن المظهر• حاصل علي مؤهل عالي او متوسط • المسئول عن عملية البيع في المنطقة التابع لها بيعيا وماليا.• إعداد خط السير وفقا لطلبات العملاء وتقديمه لمدير المبيعات.• الالتزام بتنفيذ خط السير وإخطار مدير المبيعات بأي تغيرات قد تحدث في خط السير قبل التنفيذ شرط أساسي. - لا يشترط خبرة - ثانوية فنية نظام ٣ سنوات (متوسط) - تسويق ومبيعات,forsana,239532,True
9872,مندوب مبيعات خارجية - فودافون - ابو زينما - جنوب سيناء,"القيام ببيع خطوط فودافون ""خطوط شركات"" خبره لا تقل عن سنه في مجال المبيعات. يجب على المتقدم للوظيفه ان تكون محافظته مطابقه لبطاقة الرقم القومي. - سنة- 5 سنوات خبرة - مؤهل عالي - تسويق ومبيعات",forsana,239531,True
9873,فني تبريد و تكييف - مدينة نصر - القاهرة,المهام المطلوبة: تنفيذ اعمال الصيانة الدورية لاجهزة التكييف بكافه انواعها. تفقد و معاينة اجهزة التكييف و التأكد من سلامة و صحة عملها. تنفيذ كافه اعمال تجهيزت مواسير الفريون . تركيب المكيفات الجديده سواء سبليت اوكونسيلد بنواعها المختلفه. - 5- 10 سنوات خبرة - ثانوية فنية نظام ٣ سنوات (متوسط) - حرف,forsana,239530,True
9874,مدير فرع - المعادى - القاهرة,- خبرة في مجال الاتصالات لا تقل عن سنتين- إجادة اللغة الانجليزية- حد اقصي 30 سنة إجادة مهارات التواصل والبيع - سنتان- 4 سنوات خبرة - مؤهل عالي - اعمال ادارية,forsana,239529,True
9875,مدير مبيعات وتسويق - وسط البلد - القاهرة,مدير مبيعات وتسويق لمنتج جديد تحسين الوقود ورفع كفائة الاوكتان خبرة فى مجال السيارات ومحسنات الوقود - 5- 10 سنوات خبرة - مؤهل عالي - تسويق ومبيعات,forsana,239528,True
9876,مهندس معماري - طنطا - الغربية,"Role And Responsibilities· Creating concept design for various types of projects.· Preparing high end 3D shots for designed projects.· Prepares designs, sketches, diagrams for assigned projects.· Preparing 2D drawings for concept/ schematic design. Adopts creative and innovative solutions to assigned tasks and develops appropriate research and documentation to support these solution· Participates in pro-active coordination with internal and external design disciplines to achieve a highquality consistent set of presentation or design documents as per Client requirements standards· Responsible for the preparation and compilation of design presentations and reports.· Good experience in following, studying and understanding architectural codes.Experience And Skills Required B.Sc. Architect Engineering. years of experience -10 .· Very good English spoken and written.· Talented, hard worker & passionate.Prefer to be a delta region resident or able to relocate ASAP.Software:· AutoCAD.· 3Ds Max, Vray, Lumion, Revit, & Adobe Photoshop· Virtual reality, Animation, grasshopper& rhino are great addition.Kindly attach your portfolio, otherwise your application will be terminated. - - 10 سنوات خبرة - مؤهل عالي - عمارة وهندسة",forsana,239527,True
9877,مندوب مبيعات خارجية - وسط البلد - القاهرة,مندوب مبيعات فى مجال الادوات المنزلية او الصناعات الزجاجية وادوات الطعام - سنة خبرة على الأقل - دبلوم نظام ٥ سنوات (فوق متوسط) - تسويق ومبيعات,forsana,239526,True
9878,عمال نظافة (لا يشتنرط خبرة) - مدينة نصر - القاهرة,ساعات العمل من صباحاً الي 4 مساءً المهام المطلوبة : مسئول عن نظافة أرضيات و حوائط الغرف و الحمامات مسئول عن نظافة الأبواب و المكاتب و المكتبات و الأجهزة المكتبية و الزجاج و الشبابيك مسئول عن تطهير و تعطير رائحة الغرف و الحمامات مسئول عن الحفاظ على و صيانة أدوات و خامات النظافة تحرير طلب شراء الأدوات و الخامات و تسليمه لمدير المكتب أو السكرتير التنفيذى. القيام بخدمة المكاتب و موظفيها و العمل على تلبية كافة إحتياجات العاملين. القيام بخدمة المكاتب و موظفيها و العمل على تلبية كافة إحتياجات العاملين. تحرير طلب شراء الأدوات و الخامات و تسليمه لمدير المكتب أو السكرتير التنفيذى. - لا يشترط خبرة - يجيد القراءة والكتابة بلا شهادة - خدمات,forsana,239525,True
9879,خباز (شيف خباز) - السادس من اكتوبر - الجيزة,- سنة خبرة على الأقل - تناسب كل المؤهلات - سياحة وضيافة,forsana,239524,True
9880,مساعد تشغيل - القاهرة الجديدة - القاهرة,المساعدة فى العمليه الانتاجية** يفضل خريجين مدرسه مبارك كول -الدنبسكو** الخبره فى مجال المصانع ( سنة على الاقل ) - سنة خبرة على الأقل - إعدادية - صناعة وزراعة,forsana,239522,True
9881,امين مخزن (خبرة في الادوات المنزلية) - عباسية - القاهرة,ساعات العمل من 09:00 صباحاً الي 06:00 مساءًالمهام المطلوبة : خبرة في الاداوات المنزلية والمعارض مسئول عن القيام بالأعمال الادارية بالمخزن. مسئول عن متابعة الأكواد و الأصناف وفحص و استلام المنتجات و تخزينها. استيفاء أمر الاستلام وتسجيله على نظام الخاص بالشركة. التأكد من استلام الكمية المطلوبة. وزن عينات من المنتجات المستلمة. الالتزام بتعليمات السلامة والصحة المهنية. تامينات اجتماعية / تامين صحي / رصيد اجازات سنوي / زيادة سنوية - 5- 10 سنوات خبرة - مؤهل عالي - اعمال ادارية,forsana,239521,True
9882,مسؤول مبيعات خارجية (يمتلك سيارة) (خبرة بمجال الدهانات) - أمبروز ومحرم بك - الاسكندرية,الشركة تعمل في مجال صناعة الدهانات. المهام المطلوبة: ترويج وبيع منتجات الشركه الي العملاء الحاليين. تسجيل المعاملات البيعيه في السجلات التي تحددها الشركه. جذب العملاء الجدد للتعامل مع الشركه وفقا للسياسات التي تحددها. تحقيق الاهداف البيعية المطلوبة. التجهيز والإعداد المسبق لأي أوراق أو مستندات قد يحتاج إليها العميل لإجراء الاتفاقات وإبرام العقود. شرح تفصيلي لكافة منتجات وخدمات الشركة العامل بها، وتشجيع العملاء على اقتنائها. الاهتمام بمشاكل العملاء والمساعدة في حلها، ونقل الشكاوى والاقتراحات إلى إدارة الشركة. بناء العلاقات والتواصل الدائم مع العملاء الحاليين والمحتملين. إعداد خطط عمل واضحة (يومية/أسبوعية/شهرية) وإجراء التحسينات الدورية عليها. - سنتان- 5 سنوات خبرة - ثانوية فنية نظام ٣ سنوات (متوسط) - تسويق ومبيعات,forsana,239520,True
9883,مدير منطقة مبيعات القاهرة الكبرى (يشترط امتلاك سيارة خاصة) - المعادى - القاهرة,1. ترويج منتجات الشركة إلى العملاء الحاليين وجذب عملاء جدد.2. معرفة كافة المعلومات المتعلقة بالمنتجات وتقديم شرح وافٍ عنها للعملاء.3. الحصول على طلبات الشراء من العملاء.4. التأكد من رضا الزبائن عن المنتجات والخدمات المقدمة.5. التواصل الدائم مع الزبون والتعامل الجيد وتقديم المنتج بأفضل الطرق.6. تغطية كافة الزبائن على امتداد المنطقة الجغرافية التي يعمل بها المندوب.7. تحصيل مستحقات الشركة ومتابعة الديون عند العملاء دون تأخير. . تقديم تقارير منتظمة عن المنافسة في السوق من حيث الأسعار والعروض والمنتجات الجديدة والدعاية والإعلان، أو توقف بعض الزبائن عن التعامل مع منتجات الشركة.يشترط وجود خبرة كمشرف مبيعات. - 3 سنوات خبرة على الأقل - مؤهل عالي - تسويق ومبيعات,forsana,239519,True
9884,مدير مخزن خبرة - الشروق - القاهرة,- مدير مخزن لدى شركة البولاقي للسيراميك فرع الشروق لدية خبرة لا تقل عن ١٠ سنوات - 10 سنوات خبرة على الأقل - مؤهل عالي - اعمال ادارية,forsana,239518,True
9885,محامي ابتدائي - النزهة الجديدة - القاهرة,- العمل بشركة عالم مكسرات. - المواصفات المطلوبة: 1- خبرة لا تقل عن 5 سنوات. 2- متفرغ ليس لديه أي ارتباطات خارجية. 3- يفضل من قاطني مساكن عين شمس أو مدينة السلام. 4- يحدد الراتب أثناء المقابلة.5- محامي ابتدائي. 6- السن من 2 سنة الى 30 سنة. 7- لديه كارنيه النقابة. - 5 سنوات خبرة على الأقل - مؤهل عالي - مالية وقانونية,forsana,239517,True
9886,محاسب - مدينة الشروق - القاهرة,-محاسب لشركة البولاقي للسيراميك و الادوات الصحية فرع الشروق-يشترط التفرغ للعمل . - 5 سنوات خبرة على الأقل - مؤهل عالي - مالية وقانونية,forsana,239516,True
9887,مراقب إنتاج - مدينة العبور - القاهرة,القيام إستلام الإنتاج من قسم و مراجعته و تسليمه الى قسم اخر القيام بالمراجعة على جودة المنتجات قبل إستلامها المراجعة على استلام المنتج النهائى - سنة- 3 سنوات خبرة - ثانوية فنية نظام ٣ سنوات (متوسط) - صناعة وزراعة,forsana,239515,True
9888,مندوب مبيعات خارجية - الازبكية - القاهرة,"مندوب مبيعات خارجي "" ذكور فقط من ٢١ الي ٣٠ سنه المكان : مصر الجديده شركه ورقيات مواعيد العمل من السبت للخميس من ٩.٥ صباحا ل ٦ مساء المرتب الاساسي من ٣٠٠٠ ل ٤٠٠٠ علي حسب الخبره من ١-٣ ""عدد السنوات"" ، بالاضافه لعموله من الشهر التالي للتعيين + بدل للسيارة من اول شهر للتعيين ✅ مؤهل عالي مناسب - سنة- 3 سنوات خبرة - مؤهل عالي - تسويق ومبيعات",forsana,239514,True
9889,نجار موبيليا محترف - شبرا الخيمة - القليوبية,مطلوب نجارين محترفين للعمل بمصانع الشركة فى مجال الأثاث المنزلى و المطابخ بأجور مجزية جدا - 5 سنوات خبرة على الأقل - تناسب كل المؤهلات - حرف,forsana,239513,True
9890,استشاري تطوير الاعمال - مصر الجديدة - القاهرة,- التواصل مع المستثمرين عبر وسائل التواصل تقديم لهم النصائح لتنفيذ مشاريعهم او حل مشاكلهم فى مجال الاعمال. - تنظيم وتنفيذ مشاريع عملية معينة نيابة عن العملاء. - فحص وتقييم الاتجاهات الاقتصادية والسوقية وتوقعات الأرباح والبيانات المالية والعديد من المؤشرات والعوامل الأخرى لتحديد استراتيجيات الاستثمار المناسبة. - جمع التقارير الاستشارية وتقديم توصيات بشأن فرص الاستثمار الجديدة والصناديق التي يمكن أن تعزز أو تنوع المحافظ. - 10- 15 سنة خبرة - مؤهل عالي - اعمال ادارية,forsana,239509,True
9891,مدير ادارة - بنى سويف - بني سويف,- تصميم وتنفيذ استراتيجيات وخطط وإجراءات العمل. - وضع أهداف شاملة للأداء والنمو. - وضع السياسات التي تعزز ثقافة الشركة ورؤيتها.- قيادة الموظفين لتشجيع أقصى قدر من الأداء والتفاني. - تقييم الأداء من خلال تحليل وتفسير البيانات والمقاييس. - كتابة وتقديم التقارير إلى الرئيس التنفيذي في جميع الأمور ذات الأهمية. - مساعدة الرئيس التنفيذي في المشاريع.- المشاركة في أنشطة التوسع (الاستثمارات، عمليات الاستحواذ، تحالفات الشركات، إلخ). - 7- 15 سنة خبرة - مؤهل عالي - اعمال ادارية,forsana,239505,True
9892,موظف / موظفة مبيعات عبر الهاتف - بنى سويف - بني سويف,- الحصول على فرص مبيعات جديدة من خلال متابعة العملاء المحتملين والمكالمات ورسائل البريد الإلكتروني. - رصد وفهم احتياجات العملاء ومتطلباتهم. - توجيه الفرص المؤهلة إلى مديري المبيعات المناسبين لمزيد من التطوير واتمام إجراءات البيع.- إتمام عمليات البيع وتحقيق نسبة المبيعات المطلوبة. - اجراء الابحاث والدراسات للوصول إلى الجمهور المستهدف. - التعاون والمشاركة مع فريق العمل لبناء شبكة علاقات قوية واتمام عمليات البيع. - سنة- 15 سنة خبرة - مؤهل عالي - تسويق ومبيعات,forsana,239504,True
9893,مشغل ماكينات طباعة و تصوير ديجيتال - مدينة نصر - القاهرة,مشغل ماكينات طباعة و تصوير ديجيتال بمكتب شهير بمدينة نصر و ايضا بمصر الجديدة يتم التعامل من خلال الكمبيوتر و برامج شهيرة مثل فوتوشوب و اوتوكاد و بعض البرامج الاخري لتشغيل ماكينات طباعة و تصوير ديجيتال لا يشترط الخبرة حيث يتم اعطاء فترة تدريبية مدفوعة الاجر لمدة لا تقل عن شهرين يتم من خلالها التدريب علي التعامل مع الاجهزة و الماكينات و كذلك التدريب علي التعامل مع الجمهور مدفوعة الاجر يفضل التفرغ و قرب السكن لتسهيل متطلبات العمل من حيث احتمالية التاخير بعض الايام او لاي ظروف اخري المتقدمين وفقا للسن المطلوب فقط من 20-25 سنة و يرجي عدم التقدم في حالة عدم توافق السن مواعيد العمل من الساعة 7 مساء الي 7 صباح (مبيت) و يرجي عدم التقدم للوظيفة في حالة عدم مناسبة المواعيد و المرتب لكم - لا يشترط خبرة - ثانوية فنية نظام ٣ سنوات (متوسط) - صناعة وزراعة,forsana,239503,True
9894,موظف مبيعات داخلية - جليم - الاسكندرية,"مطلوب موظفين مبيعات شباب وبنات خبره في مجال المبيعات ""يفضل الاثاث المنزلي"" لبق.حسن المظهر.تحقيق مبيعات شهريه.تقديم تقارير اسبوعية.العمل ضمن فريق العمل.مهارات التواصل الجيده.المميزات:مرتب شهرى ثابت.عمولة مجزيه شهريا. - سنتان- 10 سنوات خبرة - مؤهل عالي - تسويق ومبيعات",forsana,239502,True
9895,مهندس ميكانيكا - مدينة نصر - القاهرة,شركة مقاولات فئة اولى تطلب للتعيين مهندسين ميكانيكا ( تنفيذ و مكتب فنى ) مديرى مشاريع ، و ذلك للعمل بمواقع الشركة المختلفة . - 10- 15 سنة خبرة - مؤهل عالي - عمارة وهندسة,forsana,239501,True
9896,مدير مبيعات عقارية - 15 مايو - القاهرة,مدير تسويق عقاري في القاهرة الجديده و العاصمة الاداريه - سنتان- 15 سنة خبرة - مؤهل عالي - تسويق ومبيعات,forsana,239500,True
9897,مهندس كهرباء - مدينة نصر - القاهرة,شركة مقاولات فئة اولى مهندسين كهرباء ( تنفيذ و مكتب فنى ) مديرى مشاريع ، و ذلك للعمل بمواقع الشركة المختلفة . - 10- 15 سنة خبرة - مؤهل عالي - عمارة وهندسة,forsana,239499,True
9898,مسئول مبيعات عقارية - 15 مايو - القاهرة,المهام المطلوبة : المعرفة بالمشاريع ومواصفاتها بالتفصيل. تحقيق الأهداف البيعيه الموكلة له ورفع مستويات البيع للشركة. تنمية قاعدة العملاء والتواصل معهم. تعريف العملاء بالمشاريع المتاحة، ومناقشة شروط البيع او شروط عقد الايجار. تجهيز العقود والاوراق المطلوبة لإتمام البيع أو الايجار. الرد على استفسارات العميل فيما يتعلق بمواصفات البناء، وسائل التمويل، نوع الصيانة والتصليح، والتقييم يشرف على توقيع الوثائق العقارية وصرف التمويل. يزور المشاريع المنافسة ويعد تقارير عنها بشكل دوري. المشاركة في تنظيم برامج ترويج المبيعات والمواد في الإعلانات والصحف والكتيبات الترويجية للمشاريع التحقق من حالة العميل المالية والائتمانية للتحديد أهلية الحصول على التمويل وذلك بالتواصل مع البنوك وشركات التمويل. - سنة- 14 سنة خبرة - مؤهل عالي - تسويق ومبيعات,forsana,239498,True
9899,مدير تنفيذى (مهندس مدني) - مدينة نصر - القاهرة,شركة مقاولات فئة اولى تطلب للتعيين مهندسين مدنى مديرى مشاريع ، و ذلك للعمل بمواقع الشركة المختلفة . - 10- 15 سنة خبرة - مؤهل عالي - عمارة وهندسة,forsana,239497,True
9900,ضباط الفنية العسكرية (مديرى مشاريع مقاولات) - مدينة نصر - القاهرة,مديرى مشاريع من السادة ضباط الفنية العسكرية خروج مبكر من التخصصات ( مدنى - كهرباء - ميكانيكا) .، و ذلك للعمل بمواقع الشركة المختلفة . - 10- 15 سنة خبرة - مؤهل عالي - عمارة وهندسة,forsana,239496,True
9901,مشرف انتاج اثاث منزلي - دمياط - دمياط,المهام الوظيفية لمشرف إنتاج أثاث منزلي:تحديد الأهداف اليومية والأسبوعية والشهرية وابلاغها لفنيين التصنيع.تنظيم سير العمل من خلال تحديد المسؤوليات وإعداد جداول التشغيل.المتابعة والإشراف على إجراءات تعيين و تدريب الفنيين.ضمان الاستخدام الآمن للمعدات وجدولة الصيانة الدورية.التأكد من تطبيق الشروط والمواصفات الخاصة بعملية الإنتاج.عمل الرسومات الفنية و التنفيذية اللازمة لعمليات الأنتاجتقديم تقارير عن الأداء بشكل دوري لتحديد مدى تحقيق الأهداف.تحديد التحديات والكفاءات وتقديم الاقتراحات التي تساعد على التحسين.فرض إرشادات السلامة الصارمة ومعايير المؤسسة. المهارات اللازمة لوظيفة مشرف إنتاج:الخبرة الجيدة في استخدام أنواع مختلفة من آلات وأدوات التصنيع و الخامات و الإكسسوارات.إجادة مهارات التعامل مع برامج مايكروسوفت اوفيس.إجادة أستخدام البرامج المتخصصة في الرسومات الفنية اللازمةالقدرة على الترتيب وتوزيع المهام وتنظيم الوقت.اجادة المهارات القيادية والقدرة على تقديم الحلول المناسبة للمشكلات.القدرة على التواصل مع الشخصيات المختلفة.اجادة مهارات التحفيز وتهيئة بيئة عمل مناسبة للموظفين. متطلبات العمل في وظيفة مشرف إنتاج: الحصول على شهادة بكالريوس فنون تطبيقية تصميم داخلي و أثاث أو دبلوم 5 سنوات نجارة أثاثالخبرة العملية السابقة في وظيفة مشرف إنتاج أثاث. - 5- 10 سنوات خبرة - دبلوم نظام ٥ سنوات (فوق متوسط) - عمارة وهندسة,forsana,239495,True
9902,موظفة مبيعات Tele Sales - محطة الرمل - الاسكندرية,شركة كرنفال للتجارة ( كمبيوتر - كاميرات مراقبة )وظيفة ( موظفة مبيعات تيلى سيلز ) ويشترط الآتى :- 1- خريجة مؤهل عالى 2- خبرة لا تقل عن 3 سنوات 3- يفضل القرب من محطة الرمل وتقدم الشركة إمتيازات عديدة يتم التعرف عليها عند المقابلة الشخصية - 3 سنوات خبرة على الأقل - مؤهل عالي - تسويق ومبيعات,forsana,239494,True
9903,محاسبه (اناث فقط) - الوراق - الجيزة,- سنتان خبرة على الأكثر - مؤهل عالي - مالية وقانونية,forsana,239493,True
